INTERNAL NAME;PT (corrigido);BR (corrigido);EN (corrigido);UK (corrigido);ES (corrigido);CL (corrigido);MX (corrigido);FR (corrigido)
PAST_HISTORY_TREATMENTS_CODIFIED;Tratamentos anteriores - notas com registos codificados;Tratamentos anteriores - notas com registros codificados;Past treatment history - coded notes;Past treatment history - coded notes;Tratamientos anteriores - notas con registros codificados;Tratamientos anteriores - notas con registros codificados;Tratamientos anteriores - notas con registros codificados;Traitements précédents - notes avec saisies codées
PAST_HISTORY_TREATMENTS;Tratamentos - registo em texto livre;Tratamentos - registro em texto livre;Treatments - free text record;Treatments - free text record;Tratamientos - registro en texto libre;Tratamientos - registro en texto libre;Tratamientos - registro en texto libre;Traitements - saisie en texte libre
PAST_HISTORY_SURGERIES_CODIFIED;Antecedentes cirúrgicos - notas com registos codificados;Antecedentes cirúrgicos - notas com registros codificados;Surgical history - notes with coded records;Surgical history - notes with coded records;Antecedentes quirúrgicos - notas con registros codificados;Antecedentes quirúrgicos - notas con registros codificados;Antecedentes quirúrgicos - notas con registros codificados;Antécédents chirurgicaux et interventionnels - notes avec saisies codées
PAST_HISTORY_SURGERIES;Antecedentes cirúrgicos - registo em texto livre;Antecedentes cirúrgicos - registro em texto livre;Surgical history - free text record;Surgical history - free text record;Antecedentes quirúrgicos - registro en texto libre;Antecedentes quirúrgicos - registro en texto libre;Antecedentes quirúrgicos - registro en texto libre;Antécédents chirurgicaux et interventionnels - saisie en texte libre
PAST_HISTORY_SOCIAL_HISTORY;História social - registo em texto livre;História social - registro em texto livre;Social history - free text record;Social history - free text record;Historia social - registro en texto libre;Historia social - registro en texto libre;Historia social - registro en texto libre;Modes de vie et habitus - saisie en texte libre
PAST_HISTORY_RELEVANT_NOTES;Notas relevantes - notas com registos codificados;Notas relevantes - notas com registros codificados;Relevant notes - notes with coded records;Relevant notes - notes with coded records;Notas relevantes - notas con registros codificados;Notas relevantes - notas con registros codificados;Notas relevantes - notas con registros codificados;Notes importantes - notes avec saisies codées
PAST_HISTORY_OBSTETRIC_HISTORY_CODIFIED;História obstétrica - notas com registos codificados;História obstétrica - notas com registros codificados;Obstetric history - notes with coded records;Obstetric history - notes with coded records;Historia obstétrica - notas con registros codificados;Historia obstétrica - notas con registros codificados;Historia obstétrica - notas con registros codificados;Antécédents obstétricaux - notes avec saisies codées
PAST_HISTORY_OBSTETRIC_HISTORY;História obstétrica - registo em texto livre;História obstétrica - registro em texto livre;Obstetric history - free text record;Obstetric history - free text record;Historia obstétrica - registro en texto libre;Historia obstétrica - registro en texto libre;Historia obstétrica - registro en texto libre;Antécédents obstétricaux - saisie en texte libre
PAST_HISTORY_INJURIES;Lesões - registo em texto livre;Lesões - registro em texto livre;Injuries - free text record;Injuries - free text record;Lesiones - registro en texto libre;Lesiones - registro en texto libre;Lesiones - registro en texto libre;Handicap - saisie en texte libre
PAST_HISTORY_ILLNESSES_CODIFIED;História de doenças anteriores - notas com registos codificados;História de doenças anteriores - notas com registros codificados;History of past illnesses - notes with coded records;History of past illnesses - notes with coded records;Historia de enfermedades anteriores - notas con registros codificados;Historia de enfermedades anteriores - notas con registros codificados;Historia de enfermedades anteriores - notas con registros codificados;Histoire des maladies précédentes - notes avec saisies codées
PAST_HISTORY_ILLNESSES;Antecedentes médicos - registo em texto livre;Antecedentes médicos - registro em texto livre;Medical history - free text record;Medical history - free text record;Antecedentes médicos - registro en texto libre;Antecedentes médicos - registro en texto libre;Antecedentes médicos - registro en texto libre;Antécédents médicaux - saisie en texte libre
PAST_HISTORY_GYNECOLOGICAL_HISTORY;História ginecológica - registo em texto livre;História ginecológica - registro em texto livre;Gynecological history - free text record;Gynaecological history - free text record;Historia ginecológica - registro en texto libre;Historia ginecológica - registro en texto libre;Historia ginecológica - registro en texto libre;Antécédents gynécologiques - saisie en texte libre
PAST_HISTORY_FAMILY_HISTORY;História familiar - registo em texto livre;História familiar - registro em texto livre;Family history - free text record;Family history - free text record;Historia familiar - registro en texto libre;Historia familiar - registro en texto libre;Historia familiar - registro en texto libre;Antécédents familiaux - saisie en texte libre
PAST_HISTORY_CANCEL_NOTES;Antecedentes - notas de cancelamento;Antecedentes - notas de cancelamento;Past history - cancellation notes;Past history - cancellation notes;Antecedentes - notas de cancelación;Antecedentes - notas de cancelación;Antecedentes - notas de cancelación;Antécédents - notes d'annulation
PAST_HISTORY_BIRTH_HISTORY_CODIFIED;História do nascimento - notas com registos codificados;História do nascimento - notas com registros codificados;Birth history - notes with coded records;Birth history - notes with coded records;Historial del nacimiento - notas con registros codificados;Historial del nacimiento - notas con registros codificados;Historial del nacimiento - notas con registros codificados;Histoire de la naissance - notes avec saisies codées
PAST_HISTORY_BIRTH_HISTORY;História perinatal - registo em texto livre;História perinatal - registro em texto livre;Perinatal history - free text record;Perinatal history - free text record;Historia perinatal - registro en texto libre;Historia perinatal - registro en texto libre;Historia perinatal - registro en texto libre;Antécédents périnataux - saisie en texte libre
PARAMEDICAL_REQUESTS_NOTES;Pedido de acompanhamento - notas da decisão;Pedido de acompanhamento - notas da decisão;Follow-up request - decision notes;Follow-up request - decision notes;Solicitud de seguimiento - notas de la decisión;Solicitud de seguimiento - notas de la decisión;Solicitud de seguimiento - notas de la decisión;Demande de suivi - notes de décision
PARAMEDICAL_REQUEST_REJECTION_NOTES;Pedido de acompanhamento - notas de rejeição;Pedido de acompanhamento - notas de rejeição;Follow-up request - decline notes;Follow-up request - decline notes;Solicitud de seguimiento - notas del rechazo;Solicitud de seguimiento - notas del rechazo;Solicitud de seguimiento - notas del rechazo;Demande de suivi - notes de refus
P1_RESP_TRANS_RESP;Referenciação - notas para análise do pedido de transferência de responsabilidade;Referenciação - notas para análise do pedido de transferência de responsabilidade;Referral - notes for review of hand-off request;Referral - notes for review of hand-off request;Referenciación - Notas para análisis de la solicitud de transferencia de responsabilidad;Referenciación - Notas para análisis de la solicitud de transferencia de responsabilidad;Referenciación - Notas para análisis de la solicitud de transferencia de responsabilidad;Parcours de soins - notes pour analyse de la demande de transfert de prise en charge
P1_PROGRESS;Referenciação - evolução;Referenciação - evolução;Referral - course/timing;Referral - course/timing;Referenciación - evolución;Referenciación - evolución;Referenciación - evolución;Parcours de soins - évolution
P1_OBJECTIVE_EXAM;Referenciação - exame objetivo;Referenciação - exame objetivo;Referral - objective exam;Referral - objective exam;Referenciación - exámen objetivo;Referenciación - exámen objetivo;Referenciación - exámen objetivo;Parcours de soins - examen objectif
P1_NOTES_MCDT;Referenciação - notas sobre MCDT;Referenciação - notas sobre SADTs;Referral - diagnostic test notes;Referral - diagnostic test notes;Referenciación - notas sobre MCDT;Referenciación - notas sobre MCDT;Referenciación - notas sobre MCDT;Parcours de soins - notes concernant des examens complémentaires
P1_MED_SCHEDULE;Referenciação - marcar;Referenciação - marcar;Referral - schedule;Referral - schedule;Referenciación - citar;Referenciación - agendar;Referenciación - citar;Parcours de soins - planifier
P1_MED_REFUSE;Referenciação - motivo de recusa;Referenciação - motivo de recusa;Referral - reason for refusal;Referral - reason for refusal;Referenciación - motivo de rechazo;Referenciación - motivo de rechazo;Referenciación - motivo de rechazo;Parcours de soins - motif de refus
P1_MED_NOTES_ADM;Referenciação - notas ao administrativo;Referenciação - notas ao administrativo;Referral - notes for registrar;Referral - notes for administrative clerk;Referenciación - notas al administrativo;Referenciación - notas al administrativo;Referenciación - notas al administrativo;Parcours de soins - notes pour l'administratif
P1_MED_FORWARD;Referenciação - encaminhar para triador;Referenciação - encaminhar para triador;Referral - send to triage professional;Referral - send to triage professional;Referenciación - dirigir para el triador;Referenciación - dirigir para el triador;Referenciación - dirigir para el triador;Parcours de soins - envoyer au trieur
P1_MED_DECLINE;Referenciação - motivo de devolução;Referenciação - motivo de devolução;Referral - reason for return;Referral - reason for return;Referenciación - Motivo de devolución;Referenciación - Motivo de devolución;Referenciación - Motivo de devolución;Parcours de soins - motif de renvoi
P1_MED_CONSULT_THERAPEUTIC;Referenciação - proposta de terapêutica;Referenciação - proposta de terapêutica;Referral - treatment proposal;Referral - treatment proposal;Referenciación - propuesta de terapeutica;Referenciación - propuesta de terapeutica;Referenciación - propuesta de terapeutica;Parcours de soins - proposition de traitements
P1_MED_CONSULT_OBSERVATION;Referenciação - resumo da observação;Referenciação - resumo da observação;Referral - observation summary;Referral - observation summary;Referenciación - resumen de la observación;Referenciación - resumen de la observación;Referenciación - resumen de la observación;Parcours de soins - résumé de l'observation
P1_MED_CONSULT_EXAM;Referenciação - proposta de novos exames;Referenciação - proposta de novos exames;Referral - new exam proposal;Referral - new exam proposal;Referenciación - propuesta de nuevas pruebas;Referenciación - propuesta de nuevas pruebas;Referenciación - propuesta de nuevas pruebas;Parcours de soins - proposition de nouveaux examens
P1_MED_CONSULT_CONCLUSION;Referenciação - conclusões;Referenciação - conclusões;Referral - conclusions;Referral - conclusions;Referenciación - conclusiones;Referenciación - conclusiones;Referenciación - conclusiones;Parcours de soins - conclusions
P1_MED_CHANGE_INST;Referenciação - alterar instituição;Referenciação - alterar instituição;Referral - change facility;Referral - change facility;Referenciación - modificar institución;Referenciación - modificar institución;Referenciación - modificar institución;Parcours de soins - changer l'établissement
P1_MED_CHANGE_CS;Referenciação - alterar serviço clínico;Referenciação - alterar serviço clínico;Referral - change clinical service;Referral - change clinical service;Referenciación - modificar servicio clínico;Referenciación - modificar servicio clínico;Referenciación - modificar servicio clínico;Parcours de soins - changer le service clinique
P1_MED_CANCELLED_NOTES;Referenciação - notas de cancelamento de pedido;Referenciação - notas de cancelamento de pedido;Referral - request cancellation notes;Referral - request cancellation notes;Referenciación - notas de cancelación de la solicitud;Referenciación - notas de cancelación de la solicitud;Referenciación - notas de cancelación de la solicitud;Parcours de soins - notes d'annulation de la demande
P1_JUSTIFICATION;Referenciação - justificação do pedido;Referenciação - justificativa do pedido;Referral - reason for referral;Referral - reason for referral;Referenciación - justificación de la solicitud;Referenciación - justificación de la solicitud;Referenciación - justificación de la solicitud;Parcours de soins - justification de la demande
P1_HISTORY;Referenciação - antecedentes pessoais;Referenciação - antecedentes pessoais;Referral - past history;Referral - past history;Referenciación - antecedentes personales;Referenciación - antecedentes personales;Referenciación - antecedentes personales;Parcours de soins - antécédents personnels
P1_FAMILY_HISTORY;Referenciação - antecedentes familiares;Referenciação - antecedentes familiares;Referral - family history;Referral - family history;Referenciación - antecedentes familiares;Referenciación - antecedentes familiares;Referenciación - antecedentes familiares;Parcours de soins - antécédents familiaux
P1_DIAGNOSTIC_EXAMS;Referenciação - exames complementares;Referenciação - exames complementares;Referral - diagnostic tests;Referral - diagnostic tests;Referenciación - pruebas complementarias;Referenciación - pruebas complementarias;Referenciación - pruebas complementarias;Parcours de soins - examens complémentaires
P1_CREATION_TRANS_RESP;Referenciação - notas de pedido de transferência de responsabilidade;Referenciação - notas de pedido de transferência de responsabilidade;Referral - hand-off request notes;Referral - hand-off request notes;Referenciación - notas de solicitud de transferencia de responsabilidad;Referenciación - notas de solicitud de transferencia de responsabilidad;Referenciación - notas de solicitud de transferencia de responsabilidad;Parcours de soins - notes de demande de transfert de prise en charge
P1_ADM_SEND_TRIAGE;Referenciação - encaminhar para triagem;Referenciação - encaminhar para triagem;Referral - send to triage;Referral - send to triage;Referenciación - dirigir para triaje;Referenciación - dirigir para triaje;Referenciación - dirigir para triaje;Parcours de soins - envoyer au triage
P1_ADM_DECLINE;Referenciação - motivo de indeferimento;Referenciação - motivo de indeferimento;Referral - reason for decline;Referral - reason for decline;Referenciación - motivo de rechazo;Referenciación - motivo de rechazo;Referenciación - motivo de rechazo;Parcours de soins - motif de rejet
P1_ADM_CS_NOTES;Referenciação - notas;Referenciação - notas;Referral - notes;Referral - notes;Referenciación - notas;Referenciación - notas;Referenciación - notas;Parcours de soins - notes
OVERALL_EVALUATION;Avaliação geral;Avaliação geral;General assessment;General assessment;Evaluación general;Evaluación general;Evaluación general;Évaluation générale
ORIENTACAO_POS_ALTA;Orientação pós-alta;Orientação pós-alta;Post-discharge recommendations;Post-discharge recommendations;Orientación postalta;Orientación postalta;Orientación postalta;Instructions après la sortie
ORDER_SET_CANCEL_NOTES;Requisições agrupadas - notas de cancelamento;Requisições agrupadas - notas de cancelamento;Order sets - cancellation notes;Order sets - cancellation notes;Solicitudes agrupadas - notas de cancelación;Solicitudes agrupadas - notas de cancelación;Solicitudes agrupadas - notas de cancelación;Prescriptions groupées - notes d'annulation
OPINION_REPLY;Resposta a parecer;Resposta a parecer;Consult request reply;Consultation request reply;Respuesta a la interconsulta;Respuesta a la interconsulta;Respuesta a la interconsulta;Réponse à l'avis médical
NURSING_NOTES;Notas de enfermagem;Notas de enfermagem;Nursing notes;Nursing notes;Notas de enfermería;Notas de enfermería;Notas de enfermería;Notes de soins infirmiers
NURSING_ASSESSMENT_SHIFT;Avaliação de enfermagem - avaliação do turno;Avaliação de enfermagem - avaliação do turno;Nursing assessment - shift assessment;Nursing assessment - shift assessment;Evaluación de enfermería - evaluación del turno;Evaluación de enfermería - evaluación del turno;Evaluación de enfermería - evaluación del turno;Évaluation infirmière - évaluation de l'équipe
NURSING_ASSESSMENT_NEONATAL;Avaliação de enfermagem - avaliação neonatal/infantil;Avaliação de enfermagem - avaliação neonatal/infantil;Nursing assessment - neonatal/child assessment;Nursing assessment - neonatal/child assessment;Evaluación de enfermería - evaluación neonatal/infantil;Evaluación de enfermería - evaluación neonatal/infantil;Evaluación de enfermería - evaluación neonatal/infantil;Évaluation infirmière - évaluation néonatale/enfant
NURSING_ASSESSMENT_INITIAL;Avaliação de enfermagem - avaliação inicial de enfermagem;Avaliação de enfermagem - avaliação inicial de enfermagem;Nursing assessment - initial nursing assessment;Nursing assessment - initial nursing assessment;Evaluación de enfermería - evaluación inicial de enfermería;Evaluación de enfermería - evaluación inicial de enfermería;Evaluación de enfermería - evaluación inicial de enfermería;Évaluation infirmière - évaluation infirmière initiale
NURSING_ASSESSMENT_HCN;Avaliação de enfermagem - cálculos de horas de enfermagem;Avaliação de enfermagem - cálculos de horas de enfermagem;Nursing assessment - estimated nursing care hours;Nursing assessment - estimated nursing care hours;Evaluación de enfermería - cálculos de horas de enfermería;Evaluación de enfermería - cálculos de horas de enfermería;Evaluación de enfermería - cálculos de horas de enfermería;Évaluation infirmière - calculs d'heures de soins infirmiers
NURSING_ASSESSMENT_GENERAL;Avaliação de enfermagem - aspetos gerais;Avaliação de enfermagem - aspetos gerais;Nursing assessment - general information;Nursing assessment - general information;Evaluación de enfermería - aspectos generales;Evaluación de enfermería - aspectos generales;Evaluación de enfermería - aspectos generales;Évaluation infirmière - informations générales
NURSING_ASSESSMENT_FUNCTIONAL;Avaliação de enfermagem - avaliação funcional;Avaliação de enfermagem - avaliação funcional;Nursing assessment - functional assessment;Nursing assessment - functional assessment;Evaluación de enfermería - evaluación funcional;Evaluación de enfermería - evaluación funcional;Evaluación de enfermería - evaluación funcional;Évaluation infirmière - évaluation fonctionnelle
NURSING_ASSESSMENT_DAILY_LIVING;Avaliação de enfermagem - avaliação das atividades da vida diária;Avaliação de enfermagem - avaliação das atividades da vida diária;Nursing assessment - daily living activities assessment;Nursing assessment - daily living activities assessment;Evaluación de enfermería - evaluación de las actividades de la vida diaria;Evaluación de enfermería - evaluación de las actividades de la vida diaria;Evaluación de enfermería - evaluación de las actividades de la vida diaria;Évaluation infirmière - évaluation des activités de la vie quotidienne
NURSING_ASSESSMENT_BREAST_FEEDING;Avaliação de enfermagem - avaliação da amamentação;Avaliação de enfermagem - avaliação da amamentação;Nursing assessment - breast-feeding assessment;Nursing assessment - breast-feeding assessment;Evaluación de enfermería - evaluación de lactancia;Evaluación de enfermería - evaluación de lactancia;Evaluación de enfermería - evaluación de lactancia;Évaluation infirmière - évaluation de l'allaitement
NURSING_ASSESSMENT;Avaliação de enfermagem - avaliação de enfermagem;Avaliação de enfermagem - avaliação de enfermagem;Nursing assessment - nursing assessment;Nursing assessment - nursing assessment;Evaluación de enfermería - evaluación de enfermería;Evaluación de enfermería - evaluación de enfermería;Evaluación de enfermería - evaluación de enfermería;Évaluation infirmière - évaluation infirmière
NURSE_TEACH_REQ;Educação para a saúde - notas de requisição;Educação para a saúde - notas de requisição;Patient education - order notes;Patient education - order notes;Educación para la salud - notas de solicitud;Educación para la salud - notas de solicitud;Educación para la salud - notas de solicitud;Éducation - patient - notes de la demande
NOTES_TO_PHARMACIST_OR_TECHNICIAN;Notas para o Farmacêutico/Técnico de Farmácia;Notas para o Farmacêutico/Técnico de Farmácia;Notes for the Pharmacist/Pharmacy Technician;Notes for the Pharmacist/Pharmacy Technician;Notas para el Farmacéutico/Técnico de Farmacia;Notas para el Farmacéutico/Técnico de Farmacia;Notas para el Farmacéutico/Técnico de Farmacia;Notes pour le Pharmacien/Technicien en pharmacie
NOTES_REG_PHARMACY_REQ;Farmácia - notas de requisição;Farmácia - notas de requisição;Pharmacy - order notes;Pharmacy - order notes;Farmacia - notas de solicitud;Farmacia - notas de solicitud;Farmacia - notas de solicitud;Pharmacie - notes de la demande
NOTES_PLAN;Plano de consulta;Plano de consulta;Plan;Plan;Plan de consulta;Plan de consulta;Plan de consulta;Plan de consultation
NOTES_OF_PREPARATION;Notas de preparação;Notas de preparação;Preparation notes;Preparation notes;Notas de preparación;Notas de preparación;Notas de preparación;Notes de préparation
NOTES_MFR_EVALUATION;Avaliações MFR - notas/objetivos;Avaliações MFR - notas/objetivos;PM&R assessments - notes/objectives;Physiotherapy assessments - notes/objectives;Evaluaciones MFR - notas/objetivos;Evaluaciones MFR - notas/objetivos;Evaluaciones MFR - notas/objetivos;Évaluations MPR - notes/objectifs
NOTES_FROM_PHARM_TO_DOCTOR;Notas para o Médico/Enfermeiro;Notas para o Médico/Enfermeiro;Notes for Physician/Nurse;Notes for Doctor/Nurse;Notas para el Médico/Enfermero;Notas para el Médico/Enfermero;Notas para el Médico/Enfermero;Notes pour le Médecin/Infirmier
NOTES_FOR_REJECTION;Notas de rejeição;Notas de rejeição;Decline notes;Decline notes;Notas de rechazo;Notas de rechazo;Notas de rechazo;Notes de refus
NOTES_FOR_DOUBLE_VALIDATION;Notas de dupla validação;Notas de dupla validação;Double check notes;Double check notes;Notas de doble verificación;Notas de doble verificación;Notas de doble verificación;Notes de double validation
NOTES_FOR_CANCEL_PENDINGS;Medicação - notas de cancelamento de medicação pendente pelo Farmacêutico/Técnico de Farmácia;Medicação - notas de cancelamento de medicação pendente pelo Farmacêutico/Técnico de Farmácia;Medication - medication pending by Pharmacist/Pharmacy Technician cancellation notes;Medication - medication pending by Pharmacist/Pharmacy Technician cancellation notes;Medicación - notas de cancelación de medicación pendiente del Farmacéutico/Técnico de Farmacia;Medicación - notas de cancelación de medicación pendiente del Farmacéutico/Técnico de Farmacia;Medicación - notas de cancelación de medicación pendiente del Farmacéutico/Técnico de Farmacia;Médicaments - notes d'annulation des médicaments en attente par le Pharmacien/Technicien en pharmacie
NOTES_EVALUATION;Notas de avaliação;Notas de avaliação;Assessment notes;Assessment notes;Notas de evaluación;Notas de evaluación;Notas de evaluación;Notes d'évaluation
NOTES_DISPATCHED_MEDICATION;Medicação - notas de aviamento de medicação;Medicação - notas de dispensa de medicação;Medication - medication dispensing notes;Medication - medication dispensing notes;Medicación - notas de suministro de medicación;Medicación - notas de suministro de medicación;Medicación - notas de suministro de medicación;Médicaments - notes de délivrance de médicaments
NOTES_CANC_PHARMACY_REQ;Farmácia - notas de cancelamento de requisição;Farmácia - notas de cancelamento de requisição;Pharmacy - order cancellation notes;Pharmacy - order cancellation notes;Farmacia - notas de cancelación de la solicitud;Farmacia - notas de cancelación de la solicitud;Farmacia - notas de cancelación de la solicitud;Pharmacie - notes d'annulation de la demande
NOTES_CANC_DISPATCHED_MEDICATION;Medicação - notas de cancelamento de aviamento de medicação;Medicação - notas de cancelamento de dispensa de medicação;Medication - medication dispensing cancellation notes;Medication - medication dispensing cancellation notes;Medicación - notas de cancelación de suministro de medicación;Medicación - notas de cancelación de suministro de medicación;Medicación - notas de cancelación de suministro de medicación;Médicaments - notes d'annulation de la délivrance de médicaments
NOTAS_UTENTE_PRESC;Notas para o paciente;Notas para o paciente;Notes for patient;Notes for patient;Notas para el paciente;Notas para el paciente;Notas para el paciente;Notes pour le patient
NOTAS_UTENTE_OUTROS_EXAMES;Outros exames - notas para o paciente;Outros exames - notas para o paciente;Other exams - notes for patient;Other exams - notes for patient;Otras pruebas - notas para el paciente;Otras pruebas - notas para el paciente;Otras pruebas - notas para el paciente;Autres examens - notes pour le patient
NOTAS_UTENTE_IMAGEM;Imagem - notas para o paciente;Imagem - notas para o paciente;Imaging - notes for patient;Imaging - notes for patient;Imagen - notas para el paciente;Imagen - notas para el paciente;Imagen - notas para el paciente;Imagerie - instructions au patient
NOTAS_SPEALTY_APPONT;Notas de pedidos de consulta de especialidade;Notas de pedidos de consulta de especialidade;Specialty appointment request notes;Specialty appointment request notes;Notas de solicitud de consulta de especialidad;Notas de solicitud de consulta de especialidad;Notas de solicitud de consulta de especialidad;Notes de demandes de consultation de spécialité
NOTAS_REVISAO_PROBLEMAS;Problemas - notas de revisão;Problemas - notas de revisão;Problems - review notes;Problems - review notes;Problemas - notas de revisión;Problemas - notas de revisión;Problemas - notas de revisión;Pathologies/risques associés - notes de révision
NOTAS_REVISAO_MEDICACAO;Medicação - notas de revisão;Medicação - notas de revisão;Medication - review notes;Medication - review notes;Medicación - notas de revisión;Medicación - notas de revisión;Medicación - notas de revisión;Médicaments - notes de révision
NOTAS_REVISAO_HABITOS;Hábitos - notas de revisão;Hábitos - notas de revisão;Habits - review notes;Habits - review notes;Hábitos - notas de revisión;Hábitos - notas de revisión;Hábitos - notas de revisión;Habitudes - notes de révision
NOTAS_REVISAO_DOENCAS_ANTERIORES;Antecedentes - notas de revisão;Antecedentes - notas de revisão;Past history - review notes;Past history - review notes;Antecedentes - notas de revisión;Antecedentes - notas de revisión;Antecedentes - notas de revisión;Antécédents - notes de révision
NOTAS_REVISAO_DIAGNOSTICOS;Diagnósticos - notas de revisão;Diagnósticos - notas de revisão;Diagnoses - review notes;Diagnoses - review notes;Diagnósticos - notas de revisión;Diagnósticos - notas de revisión;Diagnósticos - notas de revisión;Diagnostics - notes de révision
NOTAS_REVISAO_ALERGIAS;Alergias - notas de revisão;Alergias - notas de revisão;Allergies - review notes;Allergies - review notes;Alergias - notas de revisión;Alergias - notas de revisión;Alergias - notas de revisión;Allergies - notes de révision
NOTAS_RESULT_ANALISES;Análises - notas gerais do resultado;Análises - notas gerais do resultado;Lab tests - general result notes;Lab tests - general result notes;Analíticas - notas generales del resultado;Analíticas - notas generales del resultado;Analíticas - notas generales del resultado;Analyses - notes générales du résultat
NOTAS_REQ_PROCEDIMENTOS;Procedimentos - notas de requisição;Procedimentos - notas de requisição;Procedures - order notes;Procedures - order notes;Procedimientos - notas de solicitud;Procedimientos - notas de solicitud;Procedimientos - notas de solicitud;Actes - notes de la demande
NOTAS_REQ_PENSO;Penso - notas de requisição;Curativo - notas de requisição;Dressing - order notes;Dressing - order notes;Vendaje - notas de solicitud;Vendaje - notas de solicitud;Vendaje - notas de solicitud;Pansement - notes de la demande
NOTAS_REQ_OUTROS_EXAMES;Outros exames - notas de requisição;Outros exames - notas de requisição;Other exams - order notes;Other exams - order notes;Otras pruebas - notas de solicitud;Otras pruebas - notas de solicitud;Otras pruebas - notas de solicitud;Autres examens - notes de la demande
NOTAS_REQ_MONITORIZ;Sinais vitais - notas;Sinais vitais - notas;Vital signs - notes;Vital signs - notes;Signos vitales - notas;Signos vitales - notas;Signos vitales - notas;Signes vitaux - notes
NOTAS_REQ_IMAGEM;Imagem - notas de requisição;Imagem - notas de requisição;Imaging - order notes;Imaging - order notes;Imagen - notas de solicitud;Imagen - notas de solicitud;Imagen - notas de solicitud;Imagerie - notes de la demande
NOTAS_REQ_ANALISES;Análises - notas de requisição;Análises - notas de requisição;Lab tests - order notes;Lab tests - order notes;Analíticas - notas de solicitud;Analíticas - notas de solicitud;Analíticas - notas de solicitud;Analyses - notes de la demande
NOTAS_REG_TOMAS_MEDICAMENTOS;Medicação - notas de tomas;Medicação - notas de tomadas de medicamentos;Medication - dose notes;Medication - dose notes;Medicación - notas de tomas;Medicación - notas de tomas;Medicación - notas de tomas;Médicaments - notes de prises
NOTAS_REG_RESULT_OUTROS_EXAMES;Outros exames - notas de resultados;Outros exames - notas de resultados;Other exams - result notes;Other exams - result notes;Otras pruebas - notas de resultados;Otras pruebas - notas de resultados;Otras pruebas - notas de resultados;Autres examens - notes de résultats
NOTAS_REG_RESULT_IMAGEM;Imagem - notas de resultados;Imagem - notas de resultados;Imaging - result notes;Imaging - result notes;Imagen - notas de resultados;Imagen - notas de resultados;Imagen - notas de resultados;Imagerie - notes de résultats
NOTAS_REG_RESULT_ANALISES;Análises - notas de resultados;Análises - notas de resultados;Lab tests - result notes;Lab tests - result notes;Analíticas - notas de resultados;Analíticas - notas de resultados;Analíticas - notas de resultados;Analyses - notes des résultats
NOTAS_REG_PRESC_MEDICAMENTOS;Medicação - notas de prescrição;Medicação - notas de prescrição;Medication - prescription notes;Medication - prescription notes;Medicación - notas de prescripción;Medicación - notas de prescripción;Medicación - notas de prescripción;Médicaments - notes de prescription
NOTAS_REG_PERFORM_OUTROS_EXAMES;Outros exames - notas de execução;Outros exames - notas da execução;Other exams - execution notes;Other exams - execution notes;Otras pruebas - notas de ejecución;Otras pruebas - notas de ejecución;Otras pruebas - notas de ejecución;Autres examens - notes de réalisation
NOTAS_REG_PERFORM_IMAGEM;Imagem - notas de execução;Imagem - notas da execução;Imaging - execution notes;Imaging - execution notes;Imagen - notas de ejecución;Imagen - notas de ejecución;Imagen - notas de ejecución;Imagerie - notes de réalisation
NOTAS_REG_INTERV_PLAN;Planos de intervenção de nutrição - notas;Planos de intervenção de nutrição - notas;Nutrition intervention plans - notes;Nutrition intervention plans - notes;Planes de intervención de nutrición - notas;Planes de intervención de nutrición - notas;Planes de intervención de nutrición - notas;Plans d'intervention nutritionnelle - notes
NOTAS_REG_EXEC_PROCEDIMENTOS;Procedimentos - notas de execução;Procedimentos - notas de execução;Procedures - execution notes;Procedures - execution notes;Procedimientos - notas de ejecución;Procedimientos - notas de ejecución;Procedimientos - notas de ejecución;Actes - notes de réalisation
NOTAS_REG_EXEC_MUDANCA_PENSO;Penso - notas de execução;Curativo - notas de execução;Dressing - execution notes;Dressing - execution notes;Vendaje - notas de ejecución;Vendaje - notas de ejecución;Vendaje - notas de ejecución;Pansement - notes de réalisation
NOTAS_REG_DIAGN;Diagnóstico - notas;Diagnóstico - notas;Diagnosis - notes;Diagnosis - notes;Diagnóstico - notas;Diagnóstico - notas;Diagnóstico - notas;Diagnostic - notes
NOTAS_REG_COLHEITA;Análises - notas da colheita;Análises - notas da coleta;Lab tests - specimen collection notes;Lab tests - specimen collection notes;Analíticas - notas de la muestra;Analíticas - notas de la muestra;Analíticas - notas de la muestra;Analyses - notes du prélèvement
NOTAS_REG_CANC_TOMAS_MEDICAMENTOS;Medicação - notas de cancelamento de tomas;Medicação - notas de cancelamento de tomadas de medicamentos;Medication - dose cancellation notes;Medication - dose cancellation notes;Medicación - notas de cancelación de tomas;Medicación - notas de cancelación de tomas;Medicación - notas de cancelación de tomas;Médicaments - notes d'annulation des prises
NOTAS_REG_CANC_PRESC_MEDICAMENTOS;Medicação - notas de cancelamento de prescrição;Medicação - notas de cancelamento de prescrição;Medication - prescription cancellation notes;Medication - prescription cancellation notes;Medicación - notas de cancelación de prescripción;Medicación - notas de cancelación de prescripción;Medicación - notas de cancelación de prescripción;Médicaments - notes d'annulation de la prescription
